tower_id,city,state,latitude,longitude,tower_type,capacity_erlangs,radio_technology,install_date,last_maintenance_date,is_active
SEA-001,Seattle,WA,47.6062,-122.3321,macro,500,5G_NR,2018-03-15,2024-11-01,true
SEA-047,Seattle,WA,47.6205,-122.3493,small_cell,350,5G_NR,2019-07-22,2024-09-15,true
PDX-012,Portland,OR,45.5051,-122.6750,macro,420,5G_NR,2018-01-10,2024-10-20,true
LAX-088,Los Angeles,CA,34.0522,-118.2437,macro,800,5G_MMWAVE,2017-05-01,2024-12-01,true
SFO-033,San Francisco,CA,37.7749,-122.4194,macro,600,5G_NR,2017-08-14,2024-11-15,true
NYC-201,New York,NY,40.7128,-74.0060,macro,1200,5G_MMWAVE,2016-12-01,2024-12-10,true
NYC-202,New York,NY,40.7589,-73.9851,macro,1100,5G_MMWAVE,2017-01-15,2024-12-05,true
CHI-055,Chicago,IL,41.8781,-87.6298,macro,700,5G_NR,2018-04-20,2024-10-01,true
DAL-099,Dallas,TX,32.7767,-96.7970,macro,650,5G_NR,2018-09-11,2024-09-20,true
MIA-077,Miami,FL,25.7617,-80.1918,macro,550,4G_LTE,2019-02-28,2024-08-15,true
DEN-044,Denver,CO,39.7392,-104.9903,macro,480,4G_LTE,2019-06-05,2024-07-01,true
PHX-066,Phoenix,AZ,33.4484,-112.0740,macro,520,5G_NR,2019-03-17,2024-10-30,true
BOS-031,Boston,MA,42.3601,-71.0589,macro,580,5G_NR,2018-11-09,2024-11-20,true
ATL-082,Atlanta,GA,33.7490,-84.3880,macro,620,4G_LTE,2018-07-25,2024-09-05,true
LAS-019,Las Vegas,NV,36.1699,-115.1398,macro,450,5G_NR,2020-01-15,2024-12-15,true
